temp_1.0_0.mid	blink-182_built-this-pool_chorus_key_transposed.mid	0.96455360
temp_1.0_0.mid	fancy_flames-of-love_chorus_key_transposed.mid	0.96328307
temp_1.0_1.mid	alt-j_something-good_chorus_key_transposed.mid	0.89379464
temp_1.0_1.mid	jan-and-dean_dead-mans-curve_chorus_key_transposed.mid	0.89379464
temp_1.0_10.mid	alexander-vogele_breakaway_chorus_key_transposed.mid	0.99409328
temp_1.0_10.mid	shania-twain_that-dont-impress-me-much_chorus_key_transposed.mid	0.99409328
temp_1.0_11.mid	u2_magnificent---adam-k-and-soha-club-mix_chorus_key_transposed.mid	0.97150217
temp_1.0_11.mid	u2_magnificent_chorus_key_transposed.mid	0.97150217
temp_1.0_12.mid	amir_je-cherche_intro_key_transposed.mid	0.65919997
temp_1.0_12.mid	kenji-yamamoto_metroid---appearance-jingle_instrumental_key_transposed.mid	0.49439998
temp_1.0_13.mid	banda-vingadora_metralhadora_intro-and-verse_key_transposed.mid	0.99656977
temp_1.0_13.mid	van-halen_right-now_pre-chorus_key_transposed.mid	0.28473422
temp_1.0_14.mid	family-of-the-year_hero_chorus_key_transposed.mid	0.47392620
temp_1.0_14.mid	anamanaguchi_the-dark-one_verse_key_transposed.mid	0.47392620
temp_1.0_15.mid	ben-folds_you-dont-know-me_intro-and-verse_key_transposed.mid	0.97825233
temp_1.0_15.mid	jon-foreman_june-and-johnny_intro-and-verse_key_transposed.mid	0.97825233
temp_1.0_16.mid	blink-182_built-this-pool_chorus_key_transposed.mid	0.96455360
temp_1.0_16.mid	fancy_flames-of-love_chorus_key_transposed.mid	0.96328307
temp_1.0_17.mid	the-beatles_a-hard-days-night_intro-and-verse_key_transposed.mid	0.98333445
temp_1.0_17.mid	the-beatles_a-hard-days-night_intro_key_transposed.mid	0.98333445
temp_1.0_18.mid	britney-spears_criminal_bridge_key_transposed.mid	0.66348574
temp_1.0_18.mid	lady-gaga_reloaded_outro_key_transposed.mid	0.56356130
temp_1.0_19.mid	eden_crash_verse_key_transposed.mid	0.98044095
temp_1.0_19.mid	toro-y-moi_cola_bridge_key_transposed.mid	0.50020178
temp_1.0_2.mid	the-cure_boys-dont-cry_chorus_key_transposed.mid	0.96900685
temp_1.0_2.mid	afta-1_flyerthanshe_instrumental_key_transposed.mid	0.48450342
temp_1.0_20.mid	hot-leg_cocktails_verse_key_transposed.mid	0.68509979
temp_1.0_20.mid	nightwish_the-poet-and-the-pendulum_outro_key_transposed.mid	0.39469108
temp_1.0_21.mid	bryan-adams_run-to-you_chorus_key_transposed.mid	0.99120112
temp_1.0_21.mid	ladytron_playgirl_chorus_key_transposed.mid	0.99120112
temp_1.0_22.mid	bon-jovi_wanted-dead-or-alive_verse_key_transposed.mid	0.99577880
temp_1.0_22.mid	chairlift_evident-utensil_chorus_key_transposed.mid	0.49788940
temp_1.0_23.mid	john-mayer_born-and-raised_verse_key_transposed.mid	0.99369510
